Type,Index,TP,FP,TN,FN,P,R,F,PWC
Frame,39.0,1643,2463,409347,287,0.40014612761811985,0.8512953367875647,0.5444002650762094,0.006646686324745009
Frame,40.0,1726,2497,409307,211,0.40871418422922096,0.8910686628807434,0.5603896103896103,0.00654515747774574
Frame,41.0,1727,2454,409323,225,0.41305907677589093,0.8847336065573771,0.563182781672917,0.006475253124629891
Frame,42.0,1723,2437,409348,221,0.41418269230769234,0.8863168724279835,0.5645478374836174,0.00642449526139091
Frame,43.0,1725,2441,409343,215,0.414066250600096,0.8891752577319587,0.5650180150671471,0.006419738763040094
Frame,44.0,1726,2406,409374,223,0.41771539206195546,0.8855823499230374,0.5676697911527708,0.006354401069298986
Frame,45.0,1703,2382,409448,213,0.41689106487148103,0.8888308977035491,0.5675720713214465,0.00627196395856395
Frame,46.0,1705,2342,409451,238,0.42129972819372374,0.8775090066906845,0.5692821368948248,0.0062358605487557285
Frame,47.0,1703,2322,409472,269,0.4231055900621118,0.8635902636916836,0.5679506419876604,0.006261993493907185
Frame,48.0,1670,2323,409462,280,0.41823190583521164,0.8564102564102564,0.5620057210163217,0.006291466760124234
Frame,49.0,1646,2329,409473,281,0.4140880503144654,0.8541774779449922,0.5577770247373772,0.006308477288273242
Frame,50.0,1647,2259,409494,329,0.4216589861751152,0.833502024291498,0.560013600816049,0.006255302383927643
Frame,51.0,1618,2218,409535,355,0.42179353493222105,0.8200709579320831,0.5570666207608882,0.006219091862730406
Frame,52.0,1620,2223,409544,322,0.4215456674473068,0.8341915550978373,0.5600691443388073,0.00615166699298299
Frame,53.0,1603,2233,409539,348,0.41788321167883213,0.8216299333675039,0.554000345602212,0.0062384735680636565
Frame,54.0,1591,2186,409570,332,0.4212337834259995,0.8273530941237649,0.5582456140350878,0.006086845114206909
Frame,55.0,1612,2168,409541,350,0.4264550264550265,0.8216106014271152,0.5614768373389064,0.006086962827947813
Frame,56.0,1628,2164,409558,348,0.4293248945147679,0.8238866396761133,0.5644937586685159,0.006072062228968958
Frame,57.0,1687,2060,409622,331,0.4502268481451828,0.83597621407334,0.5852558542931484,0.005779550398839739
